current_gpa,attendance_rate,study_hours_per_week,financial_stress,mental_health_score,part_time_job,parental_support,dropout_risk
3.85,81.6,,6,6,Yes,low,0.39
4.0,58.1,18.5,5,5,Yes,high,0.33
2.45,78.7,18.0,6,2,No,high,0.39
1.59,66.3,27.2,1,7,No,high,0.3
3.23,64.9,26.7,9,10,No,medium,0.37
3.56,72.2,14.1,8,2,Yes,high,0.43
2.64,56.7,8.1,10,4,Yes,high,0.53
2.44,100.0,29.5,10,3,Yes,low,0.55
2.21,85.7,18.9,8,1,No,low,0.54
3.33,91.5,23.7,8,1,No,medium,0.41
2.76,66.5,20.1,6,10,Yes,high,0.33
2.58,88.3,12.9,4,4,Yes,high,0.34
3.05,58.8,15.6,2,7,Yes,low,0.4
2.53,90.6,20.1,4,8,No,medium,0.28
2.44,74.3,23.7,8,3,No,high,0.43
3.43,74.4,21.4,3,7,Yes,low,0.35
3.47,80.3,26.9,8,6,No,low,0.4
2.85,59.9,13.5,5,2,Yes,high,0.44
2.47,77.6,13.7,2,7,Yes,medium,0.34
4.0,63.4,19.3,10,6,Yes,medium,0.45
2.98,48.3,10.6,9,3,No,LOW,0.58
1.67,86.1,17.9,3,5,Yes,high,0.37
2.84,88.9,16.6,7,1,No,low,0.48
,74.2,4.9,6,4,No,high,0.41
2.45,80.7,23.3,7,7,No,low,0.43
3.03,62.3,16.7,4,1,No,high,0.37
2.12,66.4,0.0,7,9,Yes,medium,0.46
2.96,58.4,5.7,2,4,No,low,0.4
2.88,,15.9,4,10,Yes,high,0.26
3.04,80.6,25.3,4,9,Yes,high,0.25
2.33,63.5,25.4,8,9,Yes,medium,0.47
2.62,92.2,16.2,3,7,No,medium,0.26
2.65,81.4,17.7,5,7,No,medium,0.33
4.0,90.4,9.4,6,9,Yes,medium,0.26
1.8,100.0,8.7,9,4,No,medium,0.46
2.72,93.1,23.4,1,3,No,medium,0.27
3.04,69.4,14.6,4,3,No,high,0.32
4.0,100.0,27.2,4,4,No,medium,0.22
2.79,74.0,,10,6,No,medium,0.45
2.67,100.0,16.1,3,10,Yes,medium,0.24
3.03,76.3,10.6,5,5,No,low,0.39
3.24,75.4,17.3,7,9,No,high,0.26
4.0,69.6,18.4,2,6,No,low,0.28
2.35,97.6,5.1,5,4,Yes,medium,0.4
2.06,78.7,15.1,3,9,No,medium,0.3
1.71,49.6,17.2,10,5,Yes,medium,0.64
2.45,78.1,32.5,3,8,Yes,medium,0.34
3.15,88.9,24.8,3,2,No,medium,0.31
3.14,82.6,10.3,3,1,Yes,medium,0.39
3.38,71.2,24.7,3,5,No,medium,0.3
3.71,90.5,15.1,9,8,No,high,0.25
1.87,90.1,16.6,1,3,Yes,medium,0.38
2.3,63.0,21.2,3,9,No,medium,0.32
3.02,85.2,13.0,8,1,Yes,medium,0.49
2.78,76.6,31.8,10,10,Yes,medium,0.43
3.33,100.0,17.8,9,6,Yes,low,0.43
3.2,68.2,14.2,7,9,No,medium,0.33
1.8,83.6,30.0,4,6,Yes,high,0.37
2.26,100.0,13.5,4,7,No,low,0.33
2.87,84.9,11.9,4,7,Yes,medium,0.33
3.24,75.7,9.7,6,2,Yes,medium,0.45
3.12,51.4,16.0,8,2,Yes,low,0.61
3.47,64.3,22.2,6,5,No,low,0.42
3.69,82.4,26.7,10,8,No,low,0.39
2.22,89.1,10.3,6,5,No,low,0.43
2.33,92.5,18.5,5,2,No,medium,0.39
2.01,78.3,18.9,8,6,Yes,medium,0.5
2.05,54.6,5.0,9,9,No,low,0.53
2.24,95.3,14.0,7,3,No,medium,0.42
2.83,,14.4,5,5,Yes,low,0.45
2.82,72.3,13.8,5,1,Yes,high,0.43
3.01,71.0,15.6,1,1,No,medium,0.34
1.41,92.2,21.0,7,8,Yes,medium,0.45
3.24,,26.5,6,8,No,high,0.24
4.0,59.6,22.5,4,2,No,medium,0.35
2.27,91.4,21.0,7,1,Yes,low,0.55
4.0,97.6,18.9,3,8,No,medium,0.15
2.23,43.9,17.0,4,4,No,high,0.42
1.95,96.8,1.2,1,7,No,medium,0.25
3.5,59.9,23.1,6,9,No,high,0.27
2.58,74.4,12.9,9,4,No,medium,0.47
2.51,61.2,0.0,4,8,Yes,low,0.45
2.2,64.8,16.3,9,8,Yes,high,0.46
3.82,100.0,14.3,8,6,Yes,high,0.28
3.48,67.8,14.7,10,8,No,low,0.44
3.22,96.1,18.7,9,5,Yes,medium,0.41
3.05,68.8,,10,1,No,medium,0.52
3.02,38.6,,7,1,No,medium,0.54
0.53,,18.8,2,2,Yes,low,0.53
4.0,50.1,3.3,4,2,No,medium,0.37
2.47,75.7,22.3,4,4,No,medium,0.38
4.0,83.4,9.5,2,10,Yes,medium,0.18
2.21,67.7,14.8,4,9,No,medium,0.34
3.82,54.3,5.4,9,8,Yes,low,0.49
1.92,61.2,17.3,3,4,No,medium,0.43
1.43,69.2,4.7,6,9,Yes,high,0.42
2.75,97.4,28.4,5,2,Yes,low,0.45
2.1,68.3,15.5,3,4,No,medium,0.4
2.38,69.1,18.8,1,9,Yes,low,0.36
2.08,81.9,17.7,4,4,No,high,0.34
2.26,100.0,,9,10,No,high,0.29
2.13,81.4,12.4,1,4,Yes,medium,0.37
2.63,77.3,17.0,10,1,No,medium,0.53
2.85,71.3,11.1,8,9,No,low,0.42
2.67,100.0,0.0,1,3,Yes,low,0.36
2.32,71.0,10.5,5,2,Yes,medium,0.5
3.38,96.7,24.7,5,10,No,high,0.15
2.06,56.8,19.5,2,3,No,medium,0.42
3.03,66.7,4.6,4,2,Yes,medium,0.44
3.42,75.4,23.8,7,8,No,low,0.37
2.85,73.9,16.3,5,7,No,medium,0.33
1.61,78.7,18.4,1,5,Yes,high,0.35
2.39,67.8,14.9,3,6,Yes,low,0.45
2.61,89.0,8.1,5,5,No,medium,0.34
1.93,34.5,7.3,6,7,No,medium,0.51
2.43,73.8,19.0,1,4,Yes,medium,0.37
